Label	Region
0	Background
1	Amygdala_L
2	Amygdala_R
3	Angular_L
4	Angular_R
5	Calcarine_L
6	Calcarine_R
7	Caudate_L
8	Caudate_R
9	Cerebelum_10_L
10	Cerebelum_10_R
11	Cerebelum_3_L
12	Cerebelum_3_R
13	Cerebelum_4_5_L
14	Cerebelum_4_5_R
15	Cerebelum_6_L
16	Cerebelum_6_R
17	Cerebelum_7b_L
18	Cerebelum_7b_R
19	Cerebelum_8_L
20	Cerebelum_8_R
21	Cerebelum_9_L
22	Cerebelum_9_R
23	Cerebelum_Crus1_L
24	Cerebelum_Crus1_R
25	Cerebelum_Crus2_L
26	Cerebelum_Crus2_R
27	Cingulum_Ant_L
28	Cingulum_Ant_R
29	Cingulum_Mid_L
30	Cingulum_Mid_R
31	Cingulum_Post_L
32	Cingulum_Post_R
33	Cuneus_L
34	Cuneus_R
35	Frontal_Inf_Oper_L
36	Frontal_Inf_Oper_R
37	Frontal_Inf_Orb_L
38	Frontal_Inf_Orb_R
39	Frontal_Inf_Tri_L
40	Frontal_Inf_Tri_R
41	Frontal_Med_Orb_L
42	Frontal_Med_Orb_R
43	Frontal_Mid_L
44	Frontal_Mid_Orb_L
45	Frontal_Mid_Orb_R
46	Frontal_Mid_R
47	Frontal_Sup_L
48	Frontal_Sup_Medial_L
49	Frontal_Sup_Medial_R
50	Frontal_Sup_Orb_L
51	Frontal_Sup_Orb_R
52	Frontal_Sup_R
53	Fusiform_L
54	Fusiform_R
55	Heschl_L
56	Heschl_R
57	Hippocampus_L
58	Hippocampus_R
59	Insula_L
60	Insula_R
61	Lingual_L
62	Lingual_R
63	Occipital_Inf_L
64	Occipital_Inf_R
65	Occipital_Mid_L
66	Occipital_Mid_R
67	Occipital_Sup_L
68	Occipital_Sup_R
69	Olfactory_L
70	Olfactory_R
71	Pallidum_L
72	Pallidum_R
73	ParaHippocampal_L
74	ParaHippocampal_R
75	Paracentral_Lobule_L
76	Paracentral_Lobule_R
77	Parietal_Inf_L
78	Parietal_Inf_R
79	Parietal_Sup_L
80	Parietal_Sup_R
81	Postcentral_L
82	Postcentral_R
83	Precentral_L
84	Precentral_R
85	Precuneus_L
86	Precuneus_R
87	Putamen_L
88	Putamen_R
89	Rectus_L
90	Rectus_R
91	Rolandic_Oper_L
92	Rolandic_Oper_R
93	Supp_Motor_Area_L
94	Supp_Motor_Area_R
95	SupraMarginal_L
96	SupraMarginal_R
97	Temporal_Inf_L
98	Temporal_Inf_R
99	Temporal_Mid_L
100	Temporal_Mid_R
101	Temporal_Pole_Mid_L
102	Temporal_Pole_Mid_R
103	Temporal_Pole_Sup_L
104	Temporal_Pole_Sup_R
105	Temporal_Sup_L
106	Temporal_Sup_R
107	Thalamus_L
108	Thalamus_R
109	Vermis_10
110	Vermis_1_2
111	Vermis_3
112	Vermis_4_5
113	Vermis_6
114	Vermis_7
115	Vermis_8
116	Vermis_9
