Label	Region
0	Background
1	Attentional_IC34
2	Attentional_IC52
3	Attentional_IC55
4	Attentional_IC60
5	Attentional_IC71
6	Attentional_IC72
7	Auditory_IC17
8	Basal Ganglia_IC21
9	Component 1
10	Component 10
11	Component 11
12	Component 12
13	Component 13
14	Component 14
15	Component 15
16	Component 16
17	Component 18
18	Component 19
19	Component 2
20	Component 22
21	Component 26
22	Component 27
23	Component 28
24	Component 3
25	Component 30
26	Component 32
27	Component 33
28	Component 35
29	Component 36
30	Component 37
31	Component 4
32	Component 40
33	Component 41
34	Component 43
35	Component 44
36	Component 45
37	Component 5
38	Component 51
39	Component 54
40	Component 57
41	Component 58
42	Component 6
43	Component 61
44	Component 62
45	Component 63
46	Component 65
47	Component 66
48	Component 69
49	Component 70
50	Component 73
51	Component 74
52	Component 75
53	Component 8
54	Component 9
55	Default-Mode_IC25
56	Default-Mode_IC50
57	Default-Mode_IC53
58	Default-Mode_IC68
59	Frontal_IC20
60	Frontal_IC42
61	Frontal_IC47
62	Frontal_IC49
63	Sensorimotor_IC23
64	Sensorimotor_IC24
65	Sensorimotor_IC29
66	Sensorimotor_IC38
67	Sensorimotor_IC56
68	Sensorimotor_IC7
69	Visual_IC39
70	Visual_IC46
71	Visual_IC48
72	Visual_IC59
73	Visual_IC64
74	Visual_IC67
