	Labels
1	SPlob
2	CAUDN_v
3	CERVM
4	L_IPlob
5	MOTnet_am
6	ACcor_d
7	L_MFgyr_pr
8	L_MOTnet_dl
9	CER6_p
10	CAUDN_d
11	CER9_d
12	AINS_v
13	PUT_a
14	CER9_v
15	R_ANGgyr
16	PVISnet_dm
17	PRC_v
18	CER7b_m
19	MVISnet_ad
20	R_IPsul
21	PINS_v
22	L_MFgyr_pc
23	AINS_pd
24	PCcor
25	PUT_p
26	CNGsul_p
27	PCcor
28	PSMcor_p
29	MVISnet_av
30	PIsul
31	THAL_d
32	R_MTgyr_a
33	L_ANGgyr
34	DMPFcor_p
35	VMPFcor_p
36	THAL_v
37	R_PCsul
38	L_MFgyr_a
39	LVISnet_p
40	VVISnet_m
41	N
42	HIPP
43	LVISnet_DP
44	CER6_d
45	CAUDN
46	CER7b_l
47	PRC_d
48	CER5
49	FUSgyr_vl
50	L_DVIS_v
51	MVISnet_p
52	PINS_d
53	L_SFsul_a
54	L_CERCR2_a
55	DMPFcor_ac
56	MDVISnet_a
57	MDVISnet_p
58	R_MFgyr_a
59	R_IFsul
60	PVISnet_l
61	MORBgyr
62	R_CERCR2_a
63	SFgyr_ad
64	PRC_d
65	CER9_m
66	VMPFcor_a
67	MOTnet_m
68	MOTnet_ml
69	R_DVIS_v
70	TP
71	AMY
72	POsul_v
73	R_MOTnet_dl
74	L_IPsul
75	FP
76	SPlob
77	R_VLPFcor
78	CAUDNH_NACC
79	COLsul
80	L_FP_l
81	LVISnet_vp
82	L_MTgyr_p
83	DVIS_s
84	CERCR1
85	AINS_ad
86	STgyr_a
87	DMPFC_ar
88	STgyr_m
89	L_MTgyr_a
90	L_CERCR2_p
91	R_SFsul
92	R_PORB
93	MOTnet_l
94	R_FP_l
95	SMgyr
96	POsul_d
97	CER6_a
98	R_IPlob
99	HSgyr
100	DVIS_vl
101	VVISnet_l
102	l_PCsul
103	POsul
104	FUSgyr_dl
105	L_IFsul
106	R_MTgyr_p
107	PVISnet_vm
108	CER7ab
109	LORBgyr
110	MOTnet_vl
111	R_MFgyr_p
112	ITgyr
113	FEF
114	L_IPlob
115	PGACcor
116	PCsul_d
117	OCCTgyr_l
118	IMsul
119	STgyr_p
120	L_VLPFcor
121	R_CERCR2_p
122	PSMcor_a
