Label	Region	yeo_networks7	yeo_networks17
0	Background	No network found	No network found
1	Superior frontal sulcus	DefaultB	DefaultA
2	Fusiform gyrus	No network found	No network found
3	Calcarine cortex posterior	VisCent	VisPeri
4	Cingulate cortex posterior	DefaultB	DefaultA
5	Parieto-occipital sulcus superior	ContA	ContC
6	Insula antero-superior	SalVentAttnA	SalVentAttnB
7	Superior temporal sulcus with angular gyrus	DefaultB	TempPar
8	Planum temporale	SomMotA	SomMotB
9	Cerebellum Crus II	No network found	No network found
10	Superior parts of Postcentral and Precentral gyri	SomMotA	DorsAttnB
11	Transverse sinus	No network found	No network found
12	Paracentral gyrus RH	SomMotA	SomMotA
13	Superior occipital gyrus	VisCent	VisPeri
14	Cingulate gyrus mid-posterior	DefaultB	ContC
15	ventricles	No network found	No network found
16	Fusiform gyrus posterior	VisCent	VisCent
17	Superior frontal gyrus medial	SalVentAttnA	SalVentAttnA
18	Precuneus superior	DorsAttnB	ContC
19	Planum polare	SalVentAttnA	SomMotB
20	Parieto-occipital sulcus middle	VisCent	VisPeri
21	Cerebellum I-V	No network found	No network found
22	Superior fornix and isthmus	No network found	DefaultC
23	Anterior Cingulate Cortex	DefaultB	SalVentAttnB
24	Descending occipital gyrus	VisCent	VisCent
25	Putamen	No network found	No network found
26	Cingulate gyrus mid-anterior	SalVentAttnA	SalVentAttnA
27	Superior parietal lobule posterior	DorsAttnB	DorsAttnA
28	Paracentral lobule	SomMotA	SomMotA
29	Inferior occipital gyrus	VisCent	VisCent
30	Superior rostral gyrus	DefaultB	DefaultA
31	Calcarine sulcus anterior	VisCent	VisPeri
32	Intraparietal sulcus	ContA	ContA
33	Superior parietal lobule anterior	DorsAttnB	DorsAttnB
34	Precentral gyrus medial	SomMotA	SomMotA
35	Lingual gyrus anterior	VisCent	VisPeri
36	Angular gyrus superior	DefaultB	ContB
37	Supramarginal gyrus	SalVentAttnA	SalVentAttnA
38	Intraparietal sulcus LH	DorsAttnB	ContA
39	Dorsomedial prefrontal cortex antero-superior	DefaultB	DefaultB
40	Precentral gyrus superior	DorsAttnB	DorsAttnB
41	Postcentral gyrus inferior	SomMotA	SomMotB
42	Lateral occipital cortex	VisCent	DorsAttnA
43	Callosomarginal sulcus	SalVentAttnA	SalVentAttnA
44	Paracentral lobule superior	SomMotA	SomMotA
45	Heschl’s gyrus	SomMotA	SomMotB
46	Occipital pole	VisCent	VisCent
47	Thalamus	No network found	No network found
48	Intraparietal sulcus RH	ContA	ContA
49	Inferior frontal sulcus	ContA	ContA
50	Postcentral gyrus LH	SomMotA	DorsAttnB
51	Middle frontal gyrus	ContA	ContB
52	Inferior frontal gyrus	ContA	ContA
53	Parieto-occipital sulcus anterior	DefaultB	DefaultC
54	Precuneus anterior	DorsAttnB	ContC
55	Lingual gyrus	VisCent	VisCent
56	Superior occipital sulcus	DorsAttnB	DorsAttnA
57	Superior parietal lobule	DorsAttnB	DorsAttnA
58	Middle frontal gyrus anterior	SalVentAttnA	SalVentAttnB
59	Angular gyrus inferior	DefaultB	DefaultA
60	Cuneus	VisCent	VisPeri
61	Middle temporal gyrus	DefaultB	DefaultB
62	Superior frontal gyrus	DefaultB	DefaultB
63	Central sulcus	SomMotA	SomMotB
64	Caudate	No network found	No network found
