	Labels
0	b'Unknown'
1	b'G_and_S_frontomargin'
2	b'G_and_S_occipital_inf'
3	b'G_and_S_paracentral'
4	b'G_and_S_subcentral'
5	b'G_and_S_transv_frontopol'
6	b'G_and_S_cingul-Ant'
7	b'G_and_S_cingul-Mid-Ant'
8	b'G_and_S_cingul-Mid-Post'
9	b'G_cingul-Post-dorsal'
10	b'G_cingul-Post-ventral'
11	b'G_cuneus'
12	b'G_front_inf-Opercular'
13	b'G_front_inf-Orbital'
14	b'G_front_inf-Triangul'
15	b'G_front_middle'
16	b'G_front_sup'
17	b'G_Ins_lg_and_S_cent_ins'
18	b'G_insular_short'
19	b'G_occipital_middle'
20	b'G_occipital_sup'
21	b'G_oc-temp_lat-fusifor'
22	b'G_oc-temp_med-Lingual'
23	b'G_oc-temp_med-Parahip'
24	b'G_orbital'
25	b'G_pariet_inf-Angular'
26	b'G_pariet_inf-Supramar'
27	b'G_parietal_sup'
28	b'G_postcentral'
29	b'G_precentral'
30	b'G_precuneus'
31	b'G_rectus'
32	b'G_subcallosal'
33	b'G_temp_sup-G_T_transv'
34	b'G_temp_sup-Lateral'
35	b'G_temp_sup-Plan_polar'
36	b'G_temp_sup-Plan_tempo'
37	b'G_temporal_inf'
38	b'G_temporal_middle'
39	b'Lat_Fis-ant-Horizont'
40	b'Lat_Fis-ant-Vertical'
41	b'Lat_Fis-post'
42	b'Medial_wall'
43	b'Pole_occipital'
44	b'Pole_temporal'
45	b'S_calcarine'
46	b'S_central'
47	b'S_cingul-Marginalis'
48	b'S_circular_insula_ant'
49	b'S_circular_insula_inf'
50	b'S_circular_insula_sup'
51	b'S_collat_transv_ant'
52	b'S_collat_transv_post'
53	b'S_front_inf'
54	b'S_front_middle'
55	b'S_front_sup'
56	b'S_interm_prim-Jensen'
57	b'S_intrapariet_and_P_trans'
58	b'S_oc_middle_and_Lunatus'
59	b'S_oc_sup_and_transversal'
60	b'S_occipital_ant'
61	b'S_oc-temp_lat'
62	b'S_oc-temp_med_and_Lingual'
63	b'S_orbital_lateral'
64	b'S_orbital_med-olfact'
65	b'S_orbital-H_Shaped'
66	b'S_parieto_occipital'
67	b'S_pericallosal'
68	b'S_postcentral'
69	b'S_precentral-inf-part'
70	b'S_precentral-sup-part'
71	b'S_suborbital'
72	b'S_subparietal'
73	b'S_temporal_inf'
74	b'S_temporal_sup'
75	b'S_temporal_transverse'
