	Labels
0	Background
1	Brodmann area 20
2	Brodmann area 38
3	Brodmann area 36
4	Brodmann area 21
5	Brodmann area 28
6	Brodmann area 11
7	Dentate
8	Brodmann area 35
9	Brodmann area 47
10	Hippocampus
11	Brodmann area 34
12	Amygdala
13	Brodmann area 18
14	Brodmann area 37
15	Brodmann area 25
16	Brodmann area 17
17	Brodmann area 19
18	Optic Tract
19	Hypothalamus
20	Brodmann area 13
21	Substania Nigra
22	Red Nucleus
23	Caudate Tail
24	Mammillary Body
25	Putamen
26	Brodmann area 32
27	Brodmann area 10
28	Brodmann area 30
29	Brodmann area 27
30	Medial Geniculum Body
31	Brodmann area 22
32	Lateral Globus Pallidus
33	Subthalamic Nucleus
34	Medial Globus Pallidus
35	Caudate Head
36	Brodmann area 24
37	Lateral Geniculum Body
38	Anterior Commissure
39	Corpus Callosum
40	Ventral Posterior Lateral Nucleus
41	Ventral Posterior Medial Nucleus
42	Brodmann area 45
43	Brodmann area 46
44	Pulvinar
45	Medial Dorsal Nucleus
46	Ventral Lateral Nucleus
47	Ventral Anterior Nucleus
48	Brodmann area 29
49	Brodmann area 41
50	Brodmann area 42
51	Brodmann area 6
52	Anterior Nucleus
53	Brodmann area 44
54	Caudate Body
55	Brodmann area 39
56	Brodmann area 23
57	Lateral Posterior Nucleus
58	Brodmann area 43
59	Brodmann area 31
60	Brodmann area 40
61	Lateral Dorsal Nucleus
62	Midline Nucleus
63	Brodmann area 4
64	Brodmann area 9
65	Brodmann area 33
66	Brodmann area 2
67	Brodmann area 1
68	Brodmann area 3
69	Brodmann area 7
70	Brodmann area 8
71	Brodmann area 5
